location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,total_vaccinations,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population
European Union,2020/01/21,0,0,,0,,,,,,,,,,,,,
European Union,2020/01/22,0,0,,0,,,,,,,,,,,,,
European Union,2020/01/23,0,0,,0,,,,,,,,,,,,,444919060
European Union,2020/01/24,2,2,,0,0.004,,,,,,,,,,,,444919060
European Union,2020/01/25,3,1,,0,0.007,,,,,,,,,,,,444919060
European Union,2020/01/26,3,0,,0,0.007,,,,,,,,,,,,444919060
European Union,2020/01/27,4,1,,0,0.009,,,,,,,,,,,,444919060
European Union,2020/01/28,8,4,,0,0.018,,,,,,,,,,,,444919060
European Union,2020/01/29,10,2,,0,0.022,0.003,,0,,,,,,,,,444919060
European Union,2020/01/30,10,0,,0,0.022,0.003,,0,,,,,,,,,444919060
European Union,2020/01/31,13,3,,0,0.029,0.004,,0,,,,,,,,,444919060
European Union,2020/02/01,19,6,,0,0.043,0.005,,0,,,,,,,,,444919060
European Union,2020/02/02,21,2,,0,0.047,0.006,,0,,,,,,,,,444919060
European Union,2020/02/03,23,2,,0,0.052,0.006,,0,,,,,,,,,444919060
European Union,2020/02/04,24,1,,0,0.054,0.005,,0,,,,,,,,,444919060
European Union,2020/02/05,24,0,,0,0.054,0.004,,0,,,,,,,,,444919060
European Union,2020/02/06,24,0,,0,0.054,0.004,,0,,,,,,,,,444919060
European Union,2020/02/07,26,2,,0,0.058,0.004,,0,,,,,,,,,444919060
European Union,2020/02/08,31,5,,0,0.07,0.004,,0,,,,,,,,,444919060
European Union,2020/02/09,33,2,,0,0.074,0.004,,0,,,,,,,,,444919060
European Union,2020/02/10,33,0,,0,0.074,0.003,,0,,,,,,,,,444919060
European Union,2020/02/11,35,2,,0,0.079,0.004,,0,,,,,,,,,444919060
European Union,2020/02/12,35,0,,0,0.079,0.004,,0,,,,,,,,,444919060
European Union,2020/02/13,35,0,,0,0.079,0.004,,0,,,,,,,,,444919060
European Union,2020/02/14,35,0,,0,0.079,0.003,,0,,,,,,,,,444919060
European Union,2020/02/15,36,1,1,1,0.081,0.002,0.002,0,,,,,,,,,444919060
European Union,2020/02/16,36,0,1,0,0.081,0.001,0.002,0,,,,,,,,,444919060
European Union,2020/02/17,36,0,1,0,0.081,0.001,0.002,0,,,,,,,,,444919060
European Union,2020/02/18,36,0,1,0,0.081,0,0.002,0,,,,,,,,,444919060
European Union,2020/02/19,36,0,1,0,0.081,0,0.002,0,,,,,,,,,444919060
European Union,2020/02/20,36,0,1,0,0.081,0,0.002,0,,,,,,,,,444919060
European Union,2020/02/21,53,17,2,1,0.119,0.006,0.004,0.001,,,,,,,,,444919060
European Union,2020/02/22,95,42,3,1,0.214,0.019,0.007,0.001,,,,,,,,,444919060
European Union,2020/02/23,188,93,4,1,0.423,0.049,0.009,0.001,,,,,,,,,444919060
European Union,2020/02/24,262,74,8,4,0.589,0.073,0.018,0.002,,,,,,,,,444919060
European Union,2020/02/25,365,103,11,3,0.82,0.106,0.025,0.003,,,,,,,,,444919060
European Union,2020/02/26,523,158,14,3,1.175,0.156,0.031,0.004,,,,,,,,,444919060
European Union,2020/02/27,773,250,19,5,1.737,0.237,0.043,0.006,,,,,,,,,444919060
European Union,2020/02/28,1057,284,23,4,2.376,0.322,0.052,0.007,,,,,,,,,444919060
European Union,2020/02/29,1405,348,31,8,3.158,0.421,0.07,0.009,,,,,,,,,444919060
European Union,2020/03/01,2112,707,36,5,4.747,0.618,0.081,0.01,,,,,,,,,444919060
European Union,2020/03/02,2606,494,55,19,5.857,0.753,0.124,0.015,,,,,,,,,444919060
European Union,2020/03/03,3210,604,84,29,7.215,0.913,0.189,0.023,,,,,,,,,444919060
European Union,2020/03/04,4080,870,113,29,9.17,1.142,0.254,0.032,,,,,,,,,444919060
European Union,2020/03/05,5392,1312,158,45,12.119,1.483,0.355,0.045,,,,,,,,,444919060
European Union,2020/03/06,6942,1550,212,54,15.603,1.89,0.476,0.061,,,,,,,,,444919060
European Union,2020/03/07,8942,2000,260,48,20.098,2.42,0.584,0.074,,,,,,,,,444919060
European Union,2020/03/08,11307,2365,405,145,25.414,2.952,0.91,0.118,,,,,,,,,444919060
European Union,2020/03/09,14226,2919,521,116,31.974,3.731,1.171,0.15,,,,,,,,,444919060
European Union,2020/03/10,16994,2768,706,185,38.196,4.426,1.587,0.2,,,,,,,,,444919060
European Union,2020/03/11,21648,4654,944,238,48.656,5.641,2.122,0.267,,,,,,,,,444919060
European Union,2020/03/12,24924,3276,1137,193,56.019,6.271,2.556,0.314,,,,,,,,,444919060
European Union,2020/03/13,35096,10172,1507,370,78.882,9.04,3.387,0.416,,,,,,,,,444919060
European Union,2020/03/14,42507,7411,1771,264,95.539,10.777,3.98,0.485,,,,,,,,,444919060
European Union,2020/03/15,49867,7360,2248,477,112.081,12.381,5.053,0.592,,,,,,,,,444919060
European Union,2020/03/16,60044,10177,2724,476,134.955,14.712,6.122,0.707,,,,,,,,,444919060
European Union,2020/03/17,70045,10001,3301,577,157.433,17.034,7.419,0.833,,,,,,,,,444919060
European Union,2020/03/18,82516,12471,3899,598,185.463,19.544,8.763,0.949,,,,,,,,,444919060
European Union,2020/03/19,99352,16836,4690,791,223.304,23.898,10.541,1.141,,,,,,,,,444919060
European Union,2020/03/20,116843,17491,5822,1132,262.616,26.248,13.086,1.385,,,,,,,,,444919060
European Union,2020/03/21,135560,18717,7172,1350,304.685,29.878,16.12,1.734,,,,,,,,,444919060
European Union,2020/03/22,152910,17350,8428,1256,343.68,33.086,18.943,1.984,,,,,,,,,444919060
European Union,2020/03/23,175173,22263,9887,1459,393.719,36.966,22.222,2.3,,,,,,,,,444919060
European Union,2020/03/24,195518,20345,11563,1676,439.446,40.288,25.989,2.653,,,,,,,,,444919060
European Union,2020/03/25,222047,26529,13569,2006,499.073,44.801,30.498,3.105,,,,,,,,,444919060
European Union,2020/03/26,253172,31125,15651,2082,569.029,49.389,35.177,3.519,,,,,,,,,444919060
European Union,2020/03/27,283775,30603,17991,2340,637.813,53.599,40.437,3.907,,,,,,,,,444919060
European Union,2020/03/28,315636,31861,20420,2429,709.423,57.82,45.896,4.254,,,,,,,,,444919060
European Union,2020/03/29,340947,25311,22734,2314,766.312,60.376,51.097,4.593,,,,,,,,,444919060
European Union,2020/03/30,367301,26354,25318,2584,825.546,61.69,56.905,4.955,,,,,,,,,444919060
European Union,2020/03/31,397713,30412,28068,2750,893.9,64.922,63.086,5.3,,,,,,,,,444919060
European Union,2020/04/01,427463,29750,31562,3494,960.766,65.956,70.939,5.777,,,,,,,,,444919060
European Union,2020/04/02,455838,28375,34633,3071,1024.541,65.073,77.841,6.095,,,,,,,,,444919060
European Union,2020/04/03,486083,30245,38044,3411,1092.52,64.958,85.508,6.439,,,,,,,,,444919060
European Union,2020/04/04,492059,5976,40901,2857,1105.952,56.647,91.929,6.576,,,,,,,,,444919060
European Union,2020/04/05,512616,20557,43228,2327,1152.156,55.12,97.159,6.58,,,,,,,,,444919060
European Union,2020/04/06,532292,19676,46118,2890,1196.379,52.976,103.655,6.679,,,,,,,,,444919060
European Union,2020/04/07,547820,15528,49995,3877,1231.28,48.197,112.369,7.04,,,,,,,,,444919060
European Union,2020/04/08,573677,25857,52809,2814,1289.396,46.947,118.693,6.822,,,,,,,,,444919060
European Union,2020/04/09,598559,24882,56390,3581,1345.321,45.826,126.742,6.986,,,,,,,,,444919060
European Union,2020/04/10,621783,23224,59578,3188,1397.519,43.571,133.908,6.914,,,,,,,,,444919060
European Union,2020/04/11,641900,20117,61989,2411,1442.734,48.112,139.326,6.771,,,,,,,,,444919060
European Union,2020/04/12,709587,67687,64403,2414,1594.868,63.245,144.752,6.799,,,,,,,,,444919060
European Union,2020/04/13,726306,16719,66824,2421,1632.445,62.295,150.194,6.648,,,,,,,,,444919060
European Union,2020/04/14,755063,28757,69250,2426,1697.079,66.543,155.646,6.183,,,,,,,,,444919060
European Union,2020/04/15,776480,21417,73252,4002,1745.216,65.117,164.641,6.564,,,,,,,,,444919060
European Union,2020/04/16,809506,33026,76287,3035,1819.446,67.732,171.463,6.389,,,,,,,,,444919060
European Union,2020/04/17,830419,20913,79316,3029,1866.45,66.99,178.271,6.338,,,,,,,,,444919060
European Union,2020/04/18,846302,15883,81292,1976,1902.148,65.631,182.712,6.198,,,,,,,,,444919060
European Union,2020/04/19,864689,18387,83168,1876,1943.475,49.801,186.928,6.025,,,,,,,,,444919060
European Union,2020/04/20,877673,12984,85303,2135,1972.658,48.602,191.727,5.933,,,,,,,,,444919060
European Union,2020/04/21,893222,15549,87707,2404,2007.606,44.361,197.13,5.926,,,,,,,,,444919060
European Union,2020/04/22,910137,16915,90130,2423,2045.624,42.915,202.576,5.419,,,,,,,,,444919060
European Union,2020/04/23,923687,13550,92466,2336,2076.079,36.662,207.827,5.195,,,,,,,,,444919060
European Union,2020/04/24,927036,3349,94642,2176,2083.606,31.022,212.717,4.921,,,,,,,,,444919060
European Union,2020/04/25,939849,12813,96499,1857,2112.404,30.037,216.891,4.883,,,,,,,,,444919060
European Union,2020/04/26,950034,10185,97752,1253,2135.296,27.403,219.707,4.683,,,,,,,,,444919060
European Union,2020/04/27,961478,11444,99367,1615,2161.018,26.909,223.337,4.516,,,,,,,,,444919060
European Union,2020/04/28,972407,10929,101051,1684,2185.582,25.425,227.122,4.285,,,,,,,,,444919060
European Union,2020/04/29,980557,8150,102996,1945,2203.9,22.611,231.494,4.131,,,,,,,,,444919060
European Union,2020/04/30,989453,8896,104447,1451,2223.894,21.117,234.755,3.847,,,,,,,,,444919060
European Union,2020/05/01,997977,8524,105452,1005,2243.053,22.778,237.014,3.471,,,,,,,,,444919060
