Confirmed,Death,Recovered,Full_Vac
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
6,0,0,0
6,0,0,0
7,0,0,0
12,0,0,0
15,0,0,0
15,0,0,0
21,0,0,0
37,0,0,0
47,0,0,0
56,0,0,0
60,0,0,0
88,0,0,0
60,0,0,0
81,0,0,0
112,0,1,0
138,0,1,0
177,0,1,0
251,0,1,0
295,0,3,0
371,0,6,0
386,0,11,0
628,1,13,0
843,1,14,0
1080,1,19,0
1249,1,22,0
1351,4,31,0
2468,5,37,0
2988,10,49,0
3421,12,69,0
3901,13,84,0
4433,16,105,0
4979,17,147,0
5717,21,210,0
6413,29,495,0
7132,38,597,0
7729,43,667,0
8157,49,717,0
8740,56,820,0
9191,64,939,0
9568,72,1059,0
9906,80,1191,0
10249,89,1306,0
10607,97,1460,0
10952,103,1611,0
11504,109,1909,0
11942,118,2228,0
12341,126,2551,0
12652,139,2823,0
12948,146,3174,0
13246,155,3550,0
13537,166,3820,0
13813,174,4228,0
14112,180,4687,0
14394,189,5103,0
14619,192,5514,0
14895,196,5866,0
15143,199,6291,0
15302,202,6655,0
15385,204,7087,0
15513,208,7635,0
15672,213,8118,0
15754,219,8471,0
15896,225,8924,0
16012,229,9393,0
16069,232,9611,0
16096,235,9945,0
16149,238,10233,0
16181,240,10561,0
16246,241,10843,0
16307,242,11103,0
16340,248,11318,0
16359,251,11402,0
16388,255,11649,0
16427,260,11940,0
16450,263,12195,0
16489,266,12398,0
16511,268,12648,0
16523,268,12793,0
16528,271,12880,0
16543,275,13062,0
16570,278,13346,0
16592,280,13485,0
16607,281,13613,0
16624,281,13780,0
16643,281,13925,0
16648,281,13976,0
16661,282,14121,0
16683,284,14252,0
16733,284,14352,0
16773,286,14414,0
16850,287,14532,0
16963,287,14568,0
16992,287,14608,0
17079,287,14675,0
17179,290,14765,0
17300,292,14821,0
