location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,total_vaccinations,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population
Israel,2020/02/21,1,1,,,0.116,,,,,,,,,,,19.44,8655541
Israel,2020/02/22,1,0,,,0.116,,,,,,,,,,,19.44,8655541
Israel,2020/02/23,1,0,,,0.116,,,,,,,,,,,19.44,8655541
Israel,2020/02/24,1,0,,,0.116,,,,,,,,,,,19.44,8655541
Israel,2020/02/25,1,0,,,0.116,,,,,,,,,,,19.44,8655541
Israel,2020/02/26,2,1,,,0.231,0.033,,0,,,,,,,,19.44,8655541
Israel,2020/02/27,3,1,,,0.347,0.05,,0,,,,,,,,19.44,8655541
Israel,2020/02/28,6,3,,,0.693,0.083,,0,,,,,,,,19.44,8655541
Israel,2020/02/29,6,0,,,0.693,0.083,,0,,,,,,,,19.44,8655541
Israel,2020/03/01,7,1,,,0.809,0.099,,0,,,,,,,,19.44,8655541
Israel,2020/03/02,12,5,,,1.386,0.182,,0,,,,,,,,19.44,8655541
Israel,2020/03/03,15,3,,,1.733,0.231,,0,,,,,,,,19.44,8655541
Israel,2020/03/04,15,0,,,1.733,0.215,,0,,,,,,,,33.33,8655541
Israel,2020/03/05,21,6,,,2.426,0.297,,0,,,,,,,,33.33,8655541
Israel,2020/03/06,37,16,,,4.275,0.512,,0,,,,,,,,33.33,8655541
Israel,2020/03/07,47,10,,,5.43,0.677,,0,,,,,,,,33.33,8655541
Israel,2020/03/08,56,9,,,6.47,0.809,,0,,,,,,,,33.33,8655541
Israel,2020/03/09,60,4,,,6.932,0.792,,0,,,,,,,,33.33,8655541
Israel,2020/03/10,88,28,,,10.167,1.205,,0,,,,,,,,33.33,8655541
Israel,2020/03/11,60,-28,,,6.932,0.743,,0,,,,,,,,33.33,8655541
Israel,2020/03/12,81,21,,,9.358,0.99,,0,,,,,,,,41.67,8655541
Israel,2020/03/13,112,31,,,12.94,1.238,,0,,,,,,,,52.78,8655541
Israel,2020/03/14,138,26,,,15.944,1.502,,0,2.62,,,,,,,52.78,8655541
Israel,2020/03/15,177,39,,,20.449,1.997,,0,2.64,,,,,,,62.96,8655541
Israel,2020/03/16,251,74,,,28.999,3.152,,0,2.68,,,,,,,68.52,8655541
Israel,2020/03/17,295,44,,,34.082,3.416,,0,2.66,,,,,,,77.78,8655541
Israel,2020/03/18,371,76,,,42.863,5.133,,0,2.66,,,,,,,77.78,8655541
Israel,2020/03/19,386,15,,,44.596,5.034,,0,2.77,,,,,,,77.78,8655541
Israel,2020/03/20,628,242,1,1,72.555,8.516,0.116,0.017,2.96,,,,,,,81.48,8655541
Israel,2020/03/21,843,215,1,0,97.394,11.636,0.116,0.017,2.95,,,,,,,81.48,8655541
Israel,2020/03/22,1080,237,1,0,124.776,14.904,0.116,0.017,2.88,,,,,,,81.48,8655541
Israel,2020/03/23,1249,169,1,0,144.301,16.472,0.116,0.017,2.81,,,,,,,81.48,8655541
Israel,2020/03/24,1351,102,4,3,156.085,17.429,0.462,0.066,2.81,,,,,,,81.48,8655541
Israel,2020/03/25,2468,1117,5,1,285.135,34.61,0.578,0.083,2.88,,,,,,,81.48,8655541
Israel,2020/03/26,2988,520,10,5,345.212,42.945,1.155,0.165,2.63,,,,,,,81.48,8655541
Israel,2020/03/27,3421,433,12,2,395.238,46.098,1.386,0.182,2.36,,,,,,,81.48,8655541
Israel,2020/03/28,3901,480,13,1,450.694,50.471,1.502,0.198,2.18,,,,,,,81.48,8655541
Israel,2020/03/29,4433,532,16,3,512.157,55.34,1.849,0.248,2.02,,,,,,,81.48,8655541
Israel,2020/03/30,4979,546,17,1,575.238,61.563,1.964,0.264,1.88,,,,,,,81.48,8655541
Israel,2020/03/31,5717,738,21,4,660.502,72.06,2.426,0.281,1.75,,,,,,,81.48,8655541
Israel,2020/04/01,6413,696,29,8,740.913,65.111,3.35,0.396,1.59,,,,,,,85.19,8655541
Israel,2020/04/02,7132,719,38,9,823.981,68.395,4.39,0.462,1.49,,,,,,,85.19,8655541
Israel,2020/04/03,7729,597,43,5,892.954,71.102,4.968,0.512,1.37,,,,,,,87.96,8655541
Israel,2020/04/04,8157,428,49,6,942.402,70.244,5.661,0.594,1.28,,,,,,,87.96,8655541
Israel,2020/04/05,8740,583,56,7,1009.758,71.086,6.47,0.66,1.2,,,,,,,87.96,8655541
Israel,2020/04/06,9191,451,64,8,1061.863,69.518,7.394,0.776,1.11,,,,,,,87.96,8655541
Israel,2020/04/07,9568,377,72,8,1105.419,63.56,8.318,0.842,1.03,,,,,,,90.74,8655541
Israel,2020/04/08,9906,338,80,8,1144.469,57.651,9.243,0.842,0.96,,,,,,,94.44,8655541
Israel,2020/04/09,10249,343,89,9,1184.097,51.445,10.282,0.842,0.94,,,,,,,94.44,8655541
Israel,2020/04/10,10607,358,97,8,1225.458,47.501,11.207,0.891,0.93,,,,,,,94.44,8655541
Israel,2020/04/11,10952,345,103,6,1265.317,46.131,11.9,0.891,0.94,,,,,,,91.67,8655541
Israel,2020/04/12,11504,552,109,6,1329.091,45.619,12.593,0.875,0.94,,,,,,,91.67,8655541
Israel,2020/04/13,11942,438,118,9,1379.694,45.404,13.633,0.891,0.91,,,,,,,91.67,8655541
Israel,2020/04/14,12341,399,126,8,1425.792,45.768,14.557,0.891,0.87,,,,,,,94.44,8655541
Israel,2020/04/15,12652,311,139,13,1461.723,45.322,16.059,0.974,0.81,,,,,,,94.44,8655541
Israel,2020/04/16,12948,296,146,7,1495.92,44.546,16.868,0.941,0.8,,,,,,,94.44,8655541
Israel,2020/04/17,13246,298,155,9,1530.349,43.556,17.908,0.957,0.79,,,,,,,91.67,8655541
Israel,2020/04/18,13537,291,166,11,1563.969,42.665,19.178,1.04,0.79,,,,,,,91.67,8655541
Israel,2020/04/19,13813,276,174,8,1595.856,38.109,20.103,1.073,0.77,,,,,,,87.96,8655541
Israel,2020/04/20,14112,299,180,6,1630.401,35.815,20.796,1.023,0.75,,,,,,,87.96,8655541
Israel,2020/04/21,14394,282,189,9,1662.981,33.884,21.836,1.04,0.72,,,,,,,87.96,8655541
Israel,2020/04/22,14619,225,192,3,1688.976,32.465,22.182,0.875,0.68,,,,,,,87.96,8655541
Israel,2020/04/23,14895,276,196,4,1720.863,32.135,22.644,0.825,0.67,,,,,,,87.96,8655541
Israel,2020/04/24,15143,248,199,3,1749.515,31.309,22.991,0.726,0.65,,,,,,,87.96,8655541
Israel,2020/04/25,15302,159,202,3,1767.885,29.131,23.338,0.594,0.62,,,,,,,87.96,8655541
Israel,2020/04/26,15385,83,204,2,1777.474,25.945,23.569,0.495,0.59,,,,,,,84.26,8655541
