location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,total_vaccinations,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population
Japan,2020/01/21,2,0,,,0.016,0,0,0,,,,,,,,2.78,126476458
Japan,2020/01/22,2,0,,,0.016,0,0,0,,,,,,,,2.78,126476458
Japan,2020/01/23,2,0,,,0.016,0,0,0,,,,,,,,2.78,126476458
Japan,2020/01/24,2,0,,,0.016,0.003,0,0,,,,,,,,2.78,126476458
Japan,2020/01/25,2,0,,,0.016,0.003,0,0,,,,,,,,2.78,126476458
Japan,2020/01/26,4,2,,,0.032,0.006,0,0,,,,,,,,2.78,126476458
Japan,2020/01/27,4,0,,,0.032,0.006,0,0,,,,,,,,2.78,126476458
Japan,2020/01/28,7,3,,,0.055,0.006,0,0,,,,,,,,2.78,126476458
Japan,2020/01/29,7,0,,,0.055,0.006,0,0,,,,,,,,2.78,126476458
Japan,2020/01/30,11,4,,,0.087,0.01,0,0,,,,,,,,2.78,126476458
Japan,2020/01/31,15,4,,,0.119,0.015,0,0,,,,,,,,2.78,126476458
Japan,2020/02/01,20,5,,,0.158,0.02,0,0,,,,,,,,8.33,126476458
Japan,2020/02/02,20,0,,,0.158,0.018,0,0,,,,,,,,8.33,126476458
Japan,2020/02/03,20,0,,,0.158,0.018,0,0,,,,,,,,8.33,126476458
Japan,2020/02/04,22,2,,,0.174,0.017,0,0,,,,,,,,19.44,126476458
Japan,2020/02/05,23,1,,,0.182,0.018,0,0,,,,,,,,19.44,126476458
Japan,2020/02/06,23,0,,,0.182,0.014,0,0,,,,,,,,19.44,126476458
Japan,2020/02/07,23,0,,,0.182,0.009,0,0,,,,,,,,19.44,126476458
Japan,2020/02/08,24,1,,,0.19,0.005,0,0,,,,,,,,19.44,126476458
Japan,2020/02/09,24,0,,,0.19,0.005,0,0,,,,,,,,19.44,126476458
Japan,2020/02/10,26,2,,,0.206,0.007,0,0,,,,,,,,19.44,126476458
Japan,2020/02/11,27,1,,,0.213,0.006,0,0,,,,,,,,19.44,126476458
Japan,2020/02/12,28,1,,,0.221,0.006,0,0,,,,,,,,19.44,126476458
Japan,2020/02/13,33,5,1,1,0.261,0.011,0.008,0.001,,,,,,,,19.44,126476458
Japan,2020/02/14,43,10,1,0,0.34,0.023,0.008,0.001,,,,,,,,19.44,126476458
Japan,2020/02/15,54,11,1,0,0.427,0.034,0.008,0.001,,,,,,,,19.44,126476458
Japan,2020/02/16,60,6,1,0,0.474,0.041,0.008,0.001,,,,,,,,19.44,126476458
Japan,2020/02/17,67,7,1,0,0.53,0.046,0.008,0.001,,,,,,,,19.44,126476458
Japan,2020/02/18,79,12,2,1,0.625,0.059,0.016,0.002,,,,,,,,19.44,126476458
Japan,2020/02/19,85,6,2,0,0.672,0.064,0.016,0.002,,,,,,,,19.44,126476458
Japan,2020/02/20,95,10,2,0,0.751,0.07,0.016,0.001,,,,,,,,25,126476458
Japan,2020/02/21,112,17,2,0,0.886,0.078,0.016,0.001,,,,,,,,25,126476458
Japan,2020/02/22,137,25,2,0,1.083,0.094,0.016,0.001,1.2,,,,,,,25,126476458
Japan,2020/02/23,149,12,2,0,1.178,0.101,0.016,0.001,1.15,,,,,,,25,126476458
Japan,2020/02/24,160,11,2,0,1.265,0.105,0.016,0.001,1.11,,,,,,,25,126476458
Japan,2020/02/25,173,13,3,1,1.368,0.106,0.024,0.001,1.08,,,,,,,34.26,126476458
Japan,2020/02/26,192,19,3,0,1.518,0.121,0.024,0.001,1.08,,,,,,,34.26,126476458
Japan,2020/02/27,218,26,4,1,1.724,0.139,0.032,0.002,1.1,,,,,,,34.26,126476458
Japan,2020/02/28,236,18,5,1,1.866,0.14,0.04,0.003,1.07,,,,,,,34.26,126476458
Japan,2020/02/29,245,9,6,1,1.937,0.122,0.047,0.005,1.09,,,,,,,34.26,126476458
Japan,2020/03/01,259,14,6,0,2.048,0.124,0.047,0.005,1.21,,,,,,,34.26,126476458
Japan,2020/03/02,278,19,6,0,2.198,0.133,0.047,0.005,1.33,,,,,,,43.52,126476458
Japan,2020/03/03,298,20,6,0,2.356,0.141,0.047,0.003,1.41,,,,,,,43.52,126476458
Japan,2020/03/04,333,35,7,1,2.633,0.159,0.055,0.005,1.52,,,,,,,43.52,126476458
Japan,2020/03/05,365,32,7,0,2.886,0.166,0.055,0.003,1.58,,,,,,,43.52,126476458
Japan,2020/03/06,420,55,7,0,3.321,0.208,0.055,0.002,1.65,,,,,,,43.52,126476458
Japan,2020/03/07,466,46,7,0,3.684,0.25,0.055,0.001,1.61,,,,,,,43.52,126476458
Japan,2020/03/08,499,33,8,1,3.945,0.271,0.063,0.002,1.56,,,,,,,43.52,126476458
Japan,2020/03/09,527,28,10,2,4.167,0.281,0.079,0.005,1.52,,,,,,,40.74,126476458
Japan,2020/03/10,585,58,13,3,4.625,0.324,0.103,0.008,1.5,,,,,,,40.74,126476458
Japan,2020/03/11,640,55,15,2,5.06,0.347,0.119,0.009,1.41,,,,,,,40.74,126476458
Japan,2020/03/12,696,56,19,4,5.503,0.374,0.15,0.014,1.32,,,,,,,40.74,126476458
Japan,2020/03/13,733,37,21,2,5.796,0.354,0.166,0.016,1.23,,,,,,,40.74,126476458
Japan,2020/03/14,795,62,22,1,6.286,0.372,0.174,0.017,1.21,,,,,,,40.74,126476458
Japan,2020/03/15,826,31,24,2,6.531,0.369,0.19,0.018,1.15,,,,,,,40.74,126476458
Japan,2020/03/16,843,17,30,6,6.665,0.357,0.237,0.023,1.11,,,,,,,40.74,126476458
Japan,2020/03/17,893,50,30,0,7.061,0.348,0.237,0.019,1.09,,,,,,,40.74,126476458
Japan,2020/03/18,928,35,32,2,7.337,0.325,0.253,0.019,1.07,,,,,,,40.74,126476458
Japan,2020/03/19,968,40,33,1,7.654,0.307,0.261,0.016,1.1,,,,,,,40.74,126476458
Japan,2020/03/20,1022,54,34,1,8.081,0.326,0.269,0.015,1.16,,,,,,,40.74,126476458
Japan,2020/03/21,1059,37,36,2,8.373,0.298,0.285,0.016,1.22,,,,,,,40.74,126476458
Japan,2020/03/22,1104,45,40,4,8.729,0.314,0.316,0.018,1.35,,,,,,,40.74,126476458
Japan,2020/03/23,1144,40,41,1,9.045,0.34,0.324,0.012,1.5,,,,,,,40.74,126476458
Japan,2020/03/24,1217,73,42,1,9.622,0.366,0.332,0.014,1.61,,,,,,,40.74,126476458
Japan,2020/03/25,1314,97,45,3,10.389,0.436,0.356,0.015,1.74,,,,,,,40.74,126476458
Japan,2020/03/26,1416,102,47,2,11.196,0.506,0.372,0.016,1.83,,,,,,,40.74,126476458
Japan,2020/03/27,1530,114,53,6,12.097,0.574,0.419,0.021,1.92,,,,,,,40.74,126476458
Japan,2020/03/28,1728,198,56,3,13.663,0.756,0.443,0.023,2.03,,,,,,,40.74,126476458
Japan,2020/03/29,1907,179,63,7,15.078,0.907,0.498,0.026,2.03,,,,,,,40.74,126476458
Japan,2020/03/30,2001,94,65,2,15.821,0.968,0.514,0.027,2,,,,,,,40.74,126476458
Japan,2020/03/31,2255,254,67,2,17.829,1.172,0.53,0.028,2.02,,,,,,,40.74,126476458
Japan,2020/04/01,2535,280,72,5,20.043,1.379,0.569,0.03,1.98,,,,,,,40.74,126476458
Japan,2020/04/02,2818,283,75,3,22.281,1.584,0.593,0.032,1.93,,,,,,,40.74,126476458
Japan,2020/04/03,3154,336,81,6,24.937,1.834,0.64,0.032,1.88,,,,,,,43.52,126476458
Japan,2020/04/04,3525,371,87,6,27.871,2.03,0.688,0.035,1.82,,,,,,,43.52,126476458
Japan,2020/04/05,3876,351,93,6,30.646,2.224,0.735,0.034,1.78,,,,,,,43.52,126476458
Japan,2020/04/06,4110,234,96,3,32.496,2.382,0.759,0.035,1.73,,,,,,,43.52,126476458
Japan,2020/04/07,4485,375,98,2,35.461,2.519,0.775,0.035,1.7,,,,,,,45.37,126476458
Japan,2020/04/08,5020,535,105,7,39.691,2.807,0.83,0.037,1.71,,,,,,,45.37,126476458
Japan,2020/04/09,5614,594,113,8,44.388,3.158,0.893,0.043,1.68,,,,,,,45.37,126476458
Japan,2020/04/10,6250,636,125,12,49.416,3.497,0.988,0.05,1.62,,,,,,,45.37,126476458
Japan,2020/04/11,6951,701,138,13,54.959,3.87,1.091,0.058,1.53,,,,,,,45.37,126476458
Japan,2020/04/12,7473,522,147,9,59.086,4.063,1.162,0.061,1.43,,,,,,,45.37,126476458
Japan,2020/04/13,7773,300,156,9,61.458,4.137,1.233,0.068,1.33,,,,,,,45.37,126476458
Japan,2020/04/14,8277,504,170,14,65.443,4.283,1.344,0.081,1.25,,,,,,,45.37,126476458
Japan,2020/04/15,8835,558,186,16,69.855,4.309,1.471,0.091,1.19,,,,,,,45.37,126476458
Japan,2020/04/16,9398,563,204,18,74.306,4.274,1.613,0.103,1.14,,,,,,,47.22,126476458
Japan,2020/04/17,9958,560,217,13,78.734,4.188,1.716,0.104,1.09,,,,,,,47.22,126476458
Japan,2020/04/18,10548,590,236,19,83.399,4.063,1.866,0.111,1.04,,,,,,,47.22,126476458
