Confirmed,Death,Recovered,Full_Vac
1,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
4,0,0,0
4,0,0,0
4,0,0,0
11,0,0,0
12,0,0,0
15,0,0,0
15,0,0,0
16,0,0,0
19,0,0,0
23,0,0,0
24,0,1,0
24,0,1,0
25,0,3,0
27,0,3,0
28,0,3,0
28,0,7,0
28,0,7,0
28,0,7,0
28,0,9,0
29,0,9,0
30,0,10,0
31,0,12,0
31,0,12,0
104,1,16,0
204,2,16,0
433,2,16,0
602,6,18,0
833,8,18,0
977,10,22,0
1261,12,22,0
1766,13,22,0
2337,13,22,0
3150,16,27,0
3736,17,30,0
4335,28,30,0
5186,28,30,0
5621,35,41,0
6088,35,41,0
6593,42,135,0
7041,44,135,0
7314,50,118,0
7478,53,118,0
7513,54,247,0
7755,60,288,0
7869,66,333,0
7979,66,510,0
8086,72,510,0
8162,75,510,0
8236,75,1137,0
8320,81,1407,0
8413,84,1540,0
8565,91,1540,0
8652,94,1540,0
8799,102,1540,0
8961,111,2909,0
8961,111,2909,0
9037,120,3507,0
9137,126,3730,0
9241,131,4144,0
9332,139,4528,0
9478,144,4811,0
9583,152,5033,0
9661,158,5228,0
9786,162,5408,0
9887,165,5567,0
9976,169,5828,0
10062,174,6021,0
10156,177,6325,0
10237,183,6463,0
10284,186,6598,0
10331,192,6694,0
10384,200,6776,0
10423,204,6973,0
10450,208,7117,0
10480,211,7243,0
10512,214,7368,0
10537,217,7447,0
10564,222,7534,0
10591,225,7616,0
10613,229,7757,0
10635,230,7829,0
10653,232,7937,0
10661,234,8042,0
10674,236,8114,0
10683,237,8213,0
10694,238,8277,0
10708,240,8501,0
10718,240,8635,0
10728,242,8717,0
10738,243,8764,0
10752,244,8854,0
10761,246,8922,0
10765,247,9059,0
10774,248,9072,0
10780,250,9123,0
10793,250,9183,0
10801,252,9217,0
10804,254,9283,0
10806,255,9333,0
10810,256,9419,0
10822,256,9484,0
10840,256,9568,0
10874,256,9610,0
10909,256,9632,0
10936,258,9670,0
10962,259,9695,0
10991,260,9762,0
11018,260,9821,0
11037,262,9851,0
11050,262,9888,0
11065,263,9904,0
11078,263,9938,0
11110,263,10066,0
11122,264,10135,0
11142,264,10162,0
11165,266,10194,0
11190,266,10213,0
11206,267,10226,0
11225,269,10275,0
11265,269,10295,0
11344,269,10340,0
11402,269,10363,0
11441,269,10398,0
11468,270,10405,0
11503,271,10422,0
11541,272,10446,0
11590,273,10467,0
11629,273,10499,0
11668,273,10506,0
11719,273,10531,0
11776,273,10552,0
11814,273,10563,0
11852,274,10589,0
11902,276,10611,0
11947,276,10654,0
12003,277,10669,0
12051,277,10691,0
12085,277,10718,0
12121,277,10730,0
12155,278,10760,0
12198,279,10774,0
12257,280,10800,0
12306,280,10835,0
