location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index
South Korea,2020/01/21,,,,,,,,,,,,,,,11,0,,,,,,people tested,,,,,,,,,,0
South Korea,2020/01/22,1,,,,,,0.02,,,,,,,5,16,0,0,,,,,people tested,,,,,,,,,,0
South Korea,2020/01/23,1,0,,,,,0.02,0,,,,,,,,,,,,,,people tested,,,,,,,,,,0
South Korea,2020/01/24,2,1,,,,,0.039,0.02,,,,,,,25,0,,,,,,people tested,,,,,,,,,,0
South Korea,2020/01/25,2,0,,,,,0.039,0,,,,,,,,,,,,,,people tested,,,,,,,,,,0
South Korea,2020/01/26,3,1,,,,,0.059,0.02,,,,,,,48,0.001,,,,,,people tested,,,,,,,,,,0
South Korea,2020/01/27,4,1,,,,,0.078,0.02,,,,,,9,57,0.001,0,,,,,people tested,,,,,,,,,,0
South Korea,2020/01/28,4,0,0.429,,,0,0.078,0,0.008,,,0,,130,187,0.004,0.003,25,0,0.017,58.3,people tested,,,,,,,,,,0
South Korea,2020/01/29,4,0,0.429,,,0,0.078,0,0.008,,,0,,,,,,28,0.001,0.015,65.3,people tested,,,,,,,,,,0
South Korea,2020/01/30,4,0,0.429,,,0,0.078,0,0.008,,,0,,,244,0.005,,32,0.001,0.013,74.6,people tested,,,,,,,,,,0
South Korea,2020/01/31,11,7,1.286,,,0,0.215,0.137,0.025,,,0,,,,,,40,0.001,0.032,31.1,people tested,,,,,,,,,,2.78
South Korea,2020/02/01,12,1,1.429,,,0,0.234,0.02,0.028,,,0,,,371,0.007,,48,0.001,0.03,33.6,people tested,,,,,,,,,,13.89
South Korea,2020/02/02,15,3,1.714,,,0,0.293,0.059,0.033,,,0,,58,429,0.008,0.001,54,0.001,0.032,31.5,people tested,,,,,,,,,,13.89
South Korea,2020/02/03,15,0,1.571,,,0,0.293,0,0.031,,,0,,,,,,66,0.001,0.024,42,people tested,,,,,,,,,,23.15
South Korea,2020/02/04,16,1,1.714,,,0,0.312,0.02,0.033,,,0,,,607,0.012,,60,0.001,0.029,35,people tested,,,,,,,,,,31.48
South Korea,2020/02/05,19,3,2.143,,,0,0.371,0.059,0.042,,,0,,107,714,0.014,0.002,71,0.001,0.03,33.1,people tested,,,,,,,,,,31.48
South Korea,2020/02/06,23,4,2.714,,,0,0.449,0.078,0.053,,,0,,171,885,0.017,0.003,92,0.002,0.029,33.9,people tested,,,,,,,,,,31.48
South Korea,2020/02/07,24,1,1.857,,,0,0.468,0.02,0.036,,,0,,245,1130,0.022,0.005,118,0.002,0.016,63.5,people tested,,,,,,,,,,31.48
South Korea,2020/02/08,24,0,1.714,,,0,0.468,0,0.033,,,0,,571,1701,0.033,0.011,190,0.004,0.009,110.9,people tested,,,,,,,,,,31.48
South Korea,2020/02/09,25,1,1.429,,,0,0.488,0.02,0.028,,,0,,639,2340,0.046,0.012,273,0.005,0.005,191,people tested,,,,,,,,,,31.48
South Korea,2020/02/10,27,2,1.714,,,0,0.527,0.039,0.033,,,0,,436,2776,0.054,0.009,323,0.006,0.005,188.4,people tested,,,,,,,,,,31.48
South Korea,2020/02/11,28,1,1.714,,,0,0.546,0.02,0.033,,,0,,853,3629,0.071,0.017,432,0.008,0.004,252,people tested,,,,,,,,,,31.48
South Korea,2020/02/12,28,0,1.286,,,0,0.546,0,0.025,,,0,,1445,5074,0.099,0.028,623,0.012,0.002,484.4,people tested,,,,,,,,,,31.48
South Korea,2020/02/13,28,0,0.714,,,0,0.546,0,0.014,,,0,,723,5797,0.113,0.014,702,0.014,0.001,983.2,people tested,,,,,,,,,,31.48
South Korea,2020/02/14,28,0,0.571,,,0,0.546,0,0.011,,,0,,1057,6854,0.134,0.021,818,0.016,0.001,1432.6,people tested,,,,,,,,,,31.48
South Korea,2020/02/15,28,0,0.571,,,0,0.546,0,0.011,,,0,,665,7519,0.147,0.013,831,0.016,0.001,1455.3,people tested,,,,,,,,,,31.48
South Korea,2020/02/16,29,1,0.571,,,0,0.566,0.02,0.011,,,0,,400,7919,0.154,0.008,797,0.016,0.001,1395.8,people tested,,,,,,,,,,31.48
South Korea,2020/02/17,30,1,0.429,,,0,0.585,0.02,0.008,,,0,,252,8171,0.159,0.005,771,0.015,0.001,1797.2,people tested,,,,,,,,,,31.48
South Korea,2020/02/18,31,1,0.429,,,0,0.605,0.02,0.008,,,0,,1094,9265,0.181,0.021,805,0.016,0.001,1876.5,people tested,,,,,,,,,,31.48
South Korea,2020/02/19,31,0,0.429,,,0,0.605,0,0.008,,,0,,1146,10411,0.203,0.022,762,0.015,0.001,1776.2,people tested,,,,,,,,,,31.48
South Korea,2020/02/20,104,73,10.857,1,1,0.143,2.029,1.424,0.212,0.02,0.02,0.003,,1750,12161,0.237,0.034,909,0.018,0.012,83.7,people tested,,,,,,,,,,31.48
South Korea,2020/02/21,204,100,25.143,2,1,0.286,3.979,1.95,0.49,0.039,0.02,0.006,5.79,2655,14816,0.289,0.052,1137,0.022,0.022,45.2,people tested,,,,,,,,,,45.37
South Korea,2020/02/22,433,229,57.857,2,0,0.286,8.446,4.467,1.128,0.039,0,0.006,5.52,4805,19621,0.383,0.094,1729,0.034,0.033,29.9,people tested,,,,,,,,,,45.37
South Korea,2020/02/23,602,169,81.857,6,4,0.857,11.742,3.296,1.597,0.117,0.078,0.017,4.48,3012,22633,0.441,0.059,2102,0.041,0.039,25.7,people tested,,,,,,,,,,50
South Korea,2020/02/24,833,231,114.714,8,2,1.143,16.248,4.506,2.237,0.156,0.039,0.022,3.73,5982,28615,0.558,0.117,2921,0.057,0.039,25.5,people tested,,,,,,,,,,55.56
South Korea,2020/02/25,977,144,135.143,10,2,1.429,19.056,2.809,2.636,0.195,0.039,0.028,3.14,8101,36716,0.716,0.158,3922,0.076,0.034,29,people tested,,,,,,,,,,55.56
South Korea,2020/02/26,1261,284,175.714,12,2,1.714,24.596,5.539,3.427,0.234,0.039,0.033,3.09,9411,46127,0.9,0.184,5102,0.1,0.034,29,people tested,,,,,,,,,,55.56
South Korea,2020/02/27,1766,505,237.429,13,1,1.714,34.446,9.85,4.631,0.254,0.02,0.033,3.12,11863,57990,1.131,0.231,6547,0.128,0.036,27.6,people tested,,,,,,,,,,55.56
South Korea,2020/02/28,2337,571,304.714,13,0,1.571,45.583,11.137,5.943,0.254,0,0.031,2.86,12950,70940,1.384,0.253,8018,0.156,0.038,26.3,people tested,,,,,,,,,,55.56
