Confirmed,Death,Recovered,Full_Vac
1,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
5,0,0,0
5,0,0,0
5,0,0,0
6,0,0,0
6,0,0,0
8,0,0,0
8,0,0,0
8,0,0,0
11,0,0,0
11,0,0,0
11,0,0,0
12,0,0,0
12,0,0,0
12,0,0,0
12,0,3,0
12,0,3,0
13,0,3,0
13,0,3,0
14,0,3,0
14,0,3,0
14,0,3,0
14,0,3,0
14,0,3,0
14,0,3,0
14,0,3,0
14,0,3,0
16,0,5,0
16,0,5,0
16,0,5,0
16,0,5,0
16,0,6,0
16,0,6,0
17,0,6,0
17,0,7,0
25,1,7,0
32,1,7,0
55,6,7,0
74,7,7,0
107,11,7,0
184,12,7,0
237,14,7,0
403,17,7,0
519,21,7,0
594,22,7,0
782,28,8,0
1147,33,8,0
1586,43,12,0
2219,51,12,0
2978,58,12,0
3212,70,12,0
4679,97,17,0
6512,134,17,0
9169,194,105,0
13663,266,121,0
20030,372,147,0
26025,475,176,0
34898,603,178,0
46136,792,178,0
56755,1033,348,0
68837,1369,361,0
86693,1785,681,0
105383,2311,869,0
125013,2985,1072,0
143912,3577,2665,0
165987,4288,5644,0
192301,5370,7024,0
224587,6655,8474,0
256809,8170,9001,0
289116,9600,9707,0
321502,11165,14652,0
351397,12783,17448,0
382787,14556,19581,0
413566,17128,21763,0
444801,19287,23559,0
480743,21500,25410,0
515146,23697,28790,0
544229,25821,31270,0
571485,27695,32988,0
598424,29706,43482,0
627242,32158,47763,0
652650,34766,52096,0
682652,36916,54703,0
715718,39029,58545,0
743625,41006,64840,0
769687,42985,70337,0
799507,45214,72329,0
825433,47726,75204,0
854344,50184,77366,0
887956,52641,80203,0
920283,54829,99079,0
950663,56545,100372,0
977151,57951,106988,0
1000866,59471,111424,0
1025441,61694,115936,0
1051900,64105,120720,0
1081105,66292,153947,0
1116012,68206,164015,0
1143360,69938,175382,0
1167681,71135,180152,0
1191749,72526,187180,0
1216277,74742,189791,0
1240846,77049,189910,0
1268275,78973,195036,0
1295105,80731,198993,0
1320281,82194,212534,0
1339086,83181,216169,0
1358384,84225,232733,0
1381311,85824,230287,0
1401744,87550,243430,0
1428561,89330,246414,0
1453294,90997,250747,0
1477429,92197,268376,0
1495817,93022,272265,0
1518206,94247,283178,0
1539185,95706,289392,0
1561910,97204,294312,0
1587679,98389,298418,0
1611328,99612,350135,0
1632427,100697,361239,0
1652504,101337,366736,0
1671166,101934,379157,0
1690829,102612,384902,0
1709380,104071,391508,0
1731700,105163,399991,0
1756178,106294,406446,0
1779810,107247,416461,0
1798793,107865,444758,0
1816207,108643,458231,0
1837709,109623,463868,0
1857566,110630,479258,0
1879224,111636,485002,0
1904627,112525,491706,0
1925769,113167,500849,0
1943697,113629,506367,0
1961313,114137,518522,0
1979696,115044,524855,0
